2022-04-23;70158202;5516906;Chain 1;3696;82864.32
2022-07-02;70158202;5516906;Chain 1;3696;110806.08
2022-08-03;70158202;5516906;Chain 1;576;17268.48
2022-08-06;70158202;5516906;Chain 1;624;18707.52
2022-08-10;70158202;5516906;Chain 1;816;24463.68
2021-01-08;70158202;5517876;Chain 1;7392;134534.4
2021-01-17;70158202;5517876;Chain 1;3696;67267.2
2021-01-18;70158202;5517876;Chain 1;3696;67267.2
2021-01-22;70158202;5517876;Chain 1;3696;67267.2
2021-01-25;70158202;5517876;Chain 1;3696;67267.2
2021-02-01;70158202;5517876;Chain 1;3696;67267.2
2021-02-15;70158202;5517876;Chain 1;3696;88777.92
2021-03-05;70158202;5517876;Chain 1;3696;88777.92
2021-03-19;70158202;5517876;Chain 1;3696;88777.92
2021-03-29;70158202;5517876;Chain 1;3696;88777.92
2021-04-05;70158202;5517876;Chain 1;3696;88777.92
2021-04-16;70158202;5517876;Chain 1;3696;93250.08
2021-04-25;70158202;5517876;Chain 1;3696;66601.92
2021-05-03;70158202;5517876;Chain 1;3696;66601.92
2021-05-09;70158202;5517876;Chain 1;7392;133203.84
2021-05-17;70158202;5517876;Chain 1;3696;66601.92
2021-05-31;70158202;5517876;Chain 1;3696;66601.92
2021-06-03;70158202;5517876;Chain 1;2064;39050.88
2021-06-11;70158202;5517876;Chain 1;3696;69928.32
2021-06-22;70158202;5517876;Chain 1;3696;93250.08
2021-06-27;70158202;5517876;Chain 1;3696;93250.08
2021-06-29;70158202;5517876;Chain 1;-3696;-93250.08
2021-07-09;70158202;5517876;Chain 1;3696;93250.08
2021-07-23;70158202;5517876;Chain 1;3696;69928.32
2021-07-31;70158202;5517876;Chain 1;7392;139856.64
2021-08-09;70158202;5517876;Chain 1;3696;69928.32
2021-08-20;70158202;5517876;Chain 1;3696;69928.32
2021-08-29;70158202;5517876;Chain 1;4944;93540.48
2021-09-10;70158202;5517876;Chain 1;3696;101640
2021-09-20;70158202;5517876;Chain 1;3696;101640
2021-10-03;70158202;5517876;Chain 1;3696;101640
2021-10-17;70158202;5517876;Chain 1;3696;76248.48
2021-10-22;70158202;5517876;Chain 1;3696;76248.48
2021-10-24;70158202;5517876;Chain 1;7392;152496.96
2021-10-25;70158202;5517876;Chain 1;1392;28716.96
2021-11-07;70158202;5517876;Chain 1;3696;76248.48
2021-11-15;70158202;5517876;Chain 1;7392;152496.96
2021-12-05;70158202;5517876;Chain 1;3696;76248.48
2021-12-13;70158202;5517876;Chain 1;3696;101640
2022-01-07;70158202;5517876;Chain 1;11088;225973.44
2022-01-21;70158202;5517876;Chain 1;3696;110473.44
2022-01-24;70158202;5517876;Chain 1;3696;76248.48
2022-01-25;70158202;5517876;Chain 1;-48;-990.24
2022-02-07;70158202;5517876;Chain 1;3696;76248.48
2022-02-11;70158202;5517876;Chain 1;3696;76248.48
2022-02-24;70158202;5517876;Chain 1;-3696;-76248.48
2022-02-25;70158202;5517876;Chain 1;3696;110473.44
2022-03-06;70158202;5517876;Chain 1;3696;110473.44
2022-03-18;70158202;5517876;Chain 1;3696;82864.32
2022-03-28;70158202;5517876;Chain 1;3696;82864.32
2022-03-31;70158202;5517876;Chain 1;1584;47345.76
2022-04-03;70158202;5517876;Chain 1;7392;220946.88
2022-04-17;70158202;5517876;Chain 1;3696;110473.44
2022-04-22;70158202;5517876;Chain 1;3696;82864.32
2022-04-25;70158202;5517876;Chain 1;3696;27646.08
